season,date,season.week,total.cases
2010,3/27/2010,12,69
2010,4/3/2010,13,41
2010,4/10/2010,14,72
2010,4/17/2010,15,61
2010,4/24/2010,16,66
2010,5/1/2010,17,62
2010,5/8/2010,18,52
2010,5/15/2010,19,63
2010,5/22/2010,20,61
2010,5/29/2010,21,74
2010,6/5/2010,22,73
2010,6/12/2010,23,87
2010,6/19/2010,24,93
2010,6/26/2010,25,117
2010,7/3/2010,26,134
2010,7/10/2010,27,104
2010,7/17/2010,28,152
2010,7/24/2010,29,119
2010,7/31/2010,30,122
2010,8/7/2010,31,129
2010,8/14/2010,32,131
2010,8/21/2010,33,148
2010,8/28/2010,34,123
2010,9/4/2010,35,147
2010,9/11/2010,36,121
2010,9/18/2010,37,177
2010,9/25/2010,38,180
2010,10/2/2010,39,168
2010,10/9/2010,40,169
2010,10/16/2010,41,147
2010,10/23/2010,42,152
2010,10/30/2010,43,133
2010,11/6/2010,44,102
2010,11/13/2010,45,117
2010,11/20/2010,46,92
2010,11/27/2010,47,80
2010,12/4/2010,48,98
2010,12/11/2010,49,87
2010,12/18/2010,50,82
2010,12/25/2010,51,94
2010,1/1/2011,52,86
2011,1/8/2011,1,87
2011,1/15/2011,2,101
2011,1/22/2011,3,64
2011,1/29/2011,4,68
2011,2/5/2011,5,36
2011,2/12/2011,6,60
2011,2/19/2011,7,70
2011,2/26/2011,8,55
2011,3/5/2011,9,66
2011,3/12/2011,10,70
2011,3/19/2011,11,72
2011,3/26/2011,12,65
2011,4/2/2011,13,70
2011,4/9/2011,14,88
2011,4/16/2011,15,76
2011,4/23/2011,16,59
2011,4/30/2011,17,101
2011,5/7/2011,18,66
2011,5/14/2011,19,108
2011,5/21/2011,20,121
2011,5/28/2011,21,128
2011,6/4/2011,22,105
2011,6/11/2011,23,145
2011,6/18/2011,24,123
2011,6/25/2011,25,141
2011,7/2/2011,26,185
2011,7/9/2011,27,210
2011,7/16/2011,28,214
2011,7/23/2011,29,226
2011,7/30/2011,30,263
2011,8/6/2011,31,217
2011,8/13/2011,32,153
2011,8/20/2011,33,131
2011,8/27/2011,34,130
2011,9/3/2011,35,133
2011,9/10/2011,36,119
2011,9/17/2011,37,104
2011,9/24/2011,38,115
2011,10/1/2011,39,78
2011,10/8/2011,40,60
2011,10/15/2011,41,87
2011,10/22/2011,42,74
2011,10/29/2011,43,63
2011,11/5/2011,44,65
2011,11/12/2011,45,69
2011,11/19/2011,46,59
2011,11/26/2011,47,82
2011,12/3/2011,48,81
2011,12/10/2011,49,68
2011,12/17/2011,50,66
2011,12/24/2011,51,64
2011,12/31/2011,52,61
2012,1/7/2012,1,74
2012,1/14/2012,2,64
2012,1/21/2012,3,60
2012,1/28/2012,4,50
2012,2/4/2012,5,84
2012,2/11/2012,6,87
2012,2/18/2012,7,65
2012,2/25/2012,8,50
2012,3/3/2012,9,55
2012,3/10/2012,10,45
2012,3/17/2012,11,64
2012,3/24/2012,12,72
2012,3/31/2012,13,48
2012,4/7/2012,14,52
2012,4/14/2012,15,81
2012,4/21/2012,16,77
2012,4/28/2012,17,64
2012,5/5/2012,18,86
2012,5/12/2012,19,96
2012,5/19/2012,20,80
2012,5/26/2012,21,80
2012,6/2/2012,22,81
2012,6/9/2012,23,99
2012,6/16/2012,24,87
2012,6/23/2012,25,128
2012,6/30/2012,26,151
2012,7/7/2012,27,140
2012,7/14/2012,28,131
2012,7/21/2012,29,124
2012,7/28/2012,30,110
2012,8/4/2012,31,94
2012,8/11/2012,32,127
2012,8/18/2012,33,115
2012,8/25/2012,34,92
2012,9/1/2012,35,102
2012,9/8/2012,36,75
2012,9/15/2012,37,73
2012,9/22/2012,38,72
2012,9/29/2012,39,99
2012,10/6/2012,40,103
2012,10/13/2012,41,122
2012,10/20/2012,42,105
2012,10/27/2012,43,84
2012,11/3/2012,44,104
2012,11/10/2012,45,99
2012,11/17/2012,46,87
2012,11/24/2012,47,99
2012,12/1/2012,48,80
2012,12/8/2012,49,78
2012,12/15/2012,50,104
2012,12/22/2012,51,92
2012,12/29/2012,52,111
2013,1/5/2013,1,132
2013,1/12/2013,2,204
2013,1/19/2013,3,219
2013,1/26/2013,4,264
2013,2/2/2013,5,292
2013,2/9/2013,6,322
2013,2/16/2013,7,246
2013,2/23/2013,8,294
2013,3/2/2013,9,247
2013,3/9/2013,10,272
2013,3/16/2013,11,307
2013,3/23/2013,12,305
2013,3/30/2013,13,314
2013,4/6/2013,14,402
2013,4/13/2013,15,491
2013,4/20/2013,16,505
2013,4/27/2013,17,536
2013,5/4/2013,18,547
2013,5/11/2013,19,556
2013,5/18/2013,20,611
2013,5/25/2013,21,637
2013,6/1/2013,22,742
2013,6/8/2013,23,813
2013,6/15/2013,24,805
2013,6/22/2013,25,838
2013,6/29/2013,26,802
2013,7/6/2013,27,676
2013,7/13/2013,28,540
2013,7/20/2013,29,389
2013,7/27/2013,30,305
2013,8/3/2013,31,288
2013,8/10/2013,32,255
2013,8/17/2013,33,378
2013,8/24/2013,34,338
2013,8/31/2013,35,382
2013,9/7/2013,36,449
2013,9/14/2013,37,337
2013,9/21/2013,38,370
2013,9/28/2013,39,402
2013,10/5/2013,40,439
2013,10/12/2013,41,435
2013,10/19/2013,42,371
2013,10/26/2013,43,495
